Order Number ,Order Date,SKU ID,Warehouse ID,Customer Type,Order Quantity,Unit Sale Price,Revenue
SO - 020997,2021-02-18,1497CA,AXW291,Distributor,57.0,16.71828,953
SO - 020998,2021-02-18,3025CA,AXW291,Distributor,1.0,1092.5,1093
SO - 020999,2021-02-18,2508BA,AXW291,Distributor,1.0,463.1,463
SO - 021000,2021-02-18,1970CA,NXH382,Wholesale,10.0,244.928,2449
SO - 021001,2021-02-18,3556AA,AXW291,Wholesale,4.0,1077.43125,4310
SO - 021002,2021-02-18,2646AA,AXW291,Distributor,120.0,908.33214,109000
SO - 021003,2021-02-18,3250CA,GUT930,Wholesale,50.0,34.75342,1738
SO - 021004,2021-02-19,1624AA,GUT930,Distributor,3.0,722.101,2166
SO - 021005,2021-02-19,1497CA,AXW291,Wholesale,83.0,16.71828,1388
SO - 021006,2021-02-19,3551CA,AXW291,Wholesale,578.0,7.06831,4085
SO - 021007,2021-02-19,1464AA,AXW291,Distributor,3.0,842.57,2528
SO - 021008,2021-02-19,3132BA,GUT930,Export,3.0,190.0,570
SO - 021009,2021-02-19,1953AA,AXW291,Distributor,1.0,947.56,948
SO - 021010,2021-02-19,2515BA,AXW291,Distributor,105.0,90.0,9450
SO - 021011,2021-02-19,2317CA,GUT930,Wholesale,653.0,37.26672,24335
SO - 021012,2021-02-19,2212AA,AXW291,Export,4.0,747.405,2990
SO - 021013,2021-02-19,1379CA,NXH382,Distributor,7.0,490.18125,3431
SO - 021014,2021-02-19,1624CA,NXH382,Export,3.0,1531.377,4594
SO - 021015,2021-02-19,2970CA,FLR025,Wholesale,1.0,512.205,512
SO - 021016,2021-02-19,1907AA,AXW291,Export,2.0,6617.42,13235
SO - 021017,2021-02-19,1366BA,AXW291,Wholesale,1.0,16900.0,16900
SO - 021018,2021-02-19,2953CA,NXH382,Distributor,1.0,1519.82,1520
SO - 021019,2021-02-19,1906CA,AXW291,Wholesale,1.0,1893.75,1894
SO - 021020,2021-02-19,2727CA,AXW291,Export,5.0,21.88943,109
SO - 021021,2021-02-19,1601AA,AXW291,Wholesale,1.0,918.403,918
SO - 021022,2021-02-19,2621AA,AXW291,Wholesale,4.0,61.78333,247
SO - 021023,2021-02-19,3502BA,AXW291,Distributor,2.0,1234.335,2469
SO - 021024,2021-02-19,2953CA,AXW291,Wholesale,2.0,1519.82,3040
SO - 021025,2021-02-19,3590BA,NXH382,Wholesale,7.0,115.085,806
SO - 021026,2021-02-19,2331CA,AXW291,Distributor,15.0,210.12419,3152
SO - 021027,2021-02-19,1083AA,NXH382,Distributor,679.0,29.02,19705
SO - 021028,2021-02-19,2359CA,NXH382,Wholesale,8931.0,73.0,651963
SO - 021029,2021-02-19,2044CA,GUT930,Wholesale,140.0,740.82,103715
SO - 021030,2021-02-19,3365CA,AXW291,Export,5.0,13.3248,67
SO - 021031,2021-02-19,1464AA,GUT930,Wholesale,2.0,842.57,1685
SO - 021032,2021-02-19,1497CA,AXW291,Wholesale,21.0,16.71828,351
SO - 021033,2021-02-19,1695CA,AXW291,Distributor,1.0,1649.3,1649
SO - 021034,2021-02-19,2021CA,AXW291,Wholesale,6.0,295.27467,1772
SO - 021035,2021-02-19,1366BA,AXW291,Distributor,3.0,16900.0,50700
SO - 021036,2021-02-19,2847BA,NXH382,Wholesale,290.0,241.79216,70120
SO - 021037,2021-02-19,2923CA,GUT930,Export,10.0,20.18857,202
SO - 021038,2021-02-19,3193AA,AXW291,Distributor,6.0,1425.0,8550
SO - 021039,2021-02-19,1499CA,GUT930,Wholesale,1.0,6600.0,6600
SO - 021040,2021-02-19,2331CA,AXW291,Distributor,266.0,210.12419,55893
SO - 021041,2021-02-19,2060AA,FLR025,Wholesale,2.0,1101.15,2202
SO - 021042,2021-02-19,2803BA,GUT930,Export,475.0,42.48576,20181
SO - 021043,2021-02-19,1379CA,GUT930,Distributor,17.0,490.18125,8333
SO - 021044,2021-02-19,1964BA,AXW291,Wholesale,85.0,99.12769,8426
SO - 021045,2021-02-19,1486CA,FLR025,Wholesale,5.0,190.72,954
SO - 021046,2021-02-19,3512AA,AXW291,Wholesale,920.0,0.10295,95
SO - 021047,2021-02-20,2326CA,GUT930,Wholesale,122.0,63.5592,7754
SO - 021048,2021-02-20,2680BA,AXW291,Distributor,10.0,215.57,2156
SO - 021049,2021-02-20,3053AA,GUT930,Wholesale,24.0,40.87148,981
SO - 021050,2021-02-20,1009AA,NXH382,Wholesale,85.0,28.76326,2445
SO - 021051,2021-02-20,2044CA,NXH382,Distributor,4.0,740.82,2963
SO - 021052,2021-02-20,2923CA,GUT930,Export,27.0,20.18857,545
SO - 021053,2021-02-20,2200CA,GUT930,Wholesale,6.0,448.0,2688
SO - 021054,2021-02-20,3512AA,GUT930,Wholesale,1000.0,0.10295,103
SO - 021055,2021-02-20,1366BA,AXW291,Distributor,1.0,16900.0,16900
SO - 021056,2021-02-20,3407CA,AXW291,Export,3.0,1017.592,3053
SO - 021057,2021-02-20,2867AA,NXH382,Wholesale,52.0,297.635,15477
SO - 021058,2021-02-20,2621AA,AXW291,Wholesale,6.0,61.78333,371
SO - 021059,2021-02-20,1403CA,GUT930,Distributor,3.0,2550.0,7650
SO - 021060,2021-02-20,2956AA,AXW291,Distributor,18.0,12.02259,216
SO - 021061,2021-02-20,3345AA,AXW291,Wholesale,60.0,31.06467,1864
SO - 021062,2021-02-20,3025CA,FLR025,Wholesale,2.0,1092.5,2185
SO - 021063,2021-02-20,1956AA,AXW291,Distributor,1.0,573.09,573
SO - 021064,2021-02-20,2956AA,AXW291,Export,5.0,12.02259,60
SO - 021065,2021-02-20,1083AA,NXH382,Export,1500.0,29.02,43530
SO - 021066,2021-02-20,1990AA,AXW291,Wholesale,7.5,545.845,4094
SO - 021067,2021-02-20,1601AA,AXW291,Distributor,1.0,918.403,918
SO - 021068,2021-02-20,1479CA,AXW291,Wholesale,1.0,385.5625,386
SO - 021069,2021-02-20,1317CA,FLR025,Wholesale,1.0,4908.7,4909
SO - 021070,2021-02-20,3495CA,AXW291,Wholesale,40.0,39.835,1593
SO - 021071,2021-02-20,2039CA,GUT930,Wholesale,3.0,449.75,1349
SO - 021072,2021-02-20,1695CA,GUT930,Distributor,1.0,1649.3,1649
SO - 021073,2021-02-20,3551CA,FLR025,Export,150.0,7.06831,1060
SO - 021074,2021-02-20,1624AA,AXW291,Distributor,2.0,722.101,1444
SO - 021075,2021-02-20,1161AA,AXW291,Export,90.0,136.5925,12293
SO - 021076,2021-02-20,2021CA,NXH382,Wholesale,5.0,295.27467,1476
SO - 021077,2021-02-20,1009AA,AXW291,Wholesale,150.0,28.76326,4314
SO - 021078,2021-02-20,3448CA,GUT930,Wholesale,30.0,6.5255,196
SO - 021079,2021-02-20,1499AA,GUT930,Distributor,70.0,14.22359,996
SO - 021080,2021-02-20,2956AA,AXW291,Export,15.0,12.02259,180
SO - 021081,2021-02-20,2501CA,FLR025,Export,100.0,35.12175,3512
SO - 021082,2021-02-20,3551CA,GUT930,Wholesale,100.0,7.06831,707
SO - 021083,2021-02-20,1403CA,AXW291,Distributor,2.0,2550.0,5100
SO - 021084,2021-02-20,1601AA,NXH382,Wholesale,1.0,918.403,918
SO - 021085,2021-02-20,2953BA,AXW291,Distributor,50.0,47.90925,2395
SO - 021086,2021-02-20,2227AA,AXW291,Wholesale,2.0,751.635,1503
SO - 021087,2021-02-20,3407CA,AXW291,Distributor,1.0,1017.592,1018
SO - 021088,2021-02-20,2293AA,GUT930,Wholesale,100.0,12.73097,1273
SO - 021089,2021-02-20,3407CA,GUT930,Wholesale,1.0,1017.592,1018
SO - 021090,2021-02-21,3502BA,AXW291,Wholesale,123.0,1234.335,151823
SO - 021091,2021-02-21,1379CA,NXH382,Wholesale,10.0,490.18125,4902
SO - 021092,2021-02-21,3576BA,FLR025,Distributor,16.0,44.79,717
SO - 021093,2021-02-21,2515BA,GUT930,Distributor,160.0,90.0,14400
SO - 021094,2021-02-21,3461CA,GUT930,Distributor,1.0,30.064,30
SO - 021095,2021-02-21,3079BA,GUT930,Wholesale,816.0,134.5,109752
SO - 021096,2021-02-21,2767AA,AXW291,Distributor,88.0,147.86565,13012
SO - 021097,2021-02-21,2600BA,AXW291,Wholesale,4.0,1467.79,5871
SO - 021098,2021-02-21,3533CA,FLR025,Export,625.0,0.64377,402
SO - 021099,2021-02-21,3053AA,GUT930,Wholesale,23.0,40.87148,940
SO - 021100,2021-02-21,2317CA,NXH382,Wholesale,490.0,37.26672,18261
SO - 021101,2021-02-21,1971AA,NXH382,Export,12.5,321.9469,4024
SO - 021102,2021-02-21,1586CA,AXW291,Export,10.0,286.571,2866
SO - 021103,2021-02-21,2189CA,GUT930,Wholesale,3.0,299.805,899
SO - 021104,2021-02-21,3502BA,AXW291,Wholesale,2.0,1234.335,2469
SO - 021105,2021-02-21,3404CA,AXW291,Distributor,5.0,396.54,1983
SO - 021106,2021-02-21,1161AA,FLR025,Wholesale,598.0,136.5925,81682
SO - 021107,2021-02-21,3178CA,GUT930,Wholesale,1.0,26000.0,26000
SO - 021108,2021-02-21,1317CA,AXW291,Distributor,2.0,4908.7,9817
SO - 021109,2021-02-21,2767AA,GUT930,Distributor,105.0,147.86565,15526
SO - 021110,2021-02-21,2053BA,GUT930,Export,1.0,1212.86889,1213
SO - 021111,2021-02-21,1193BA,NXH382,Distributor,12.0,815.0,9780
SO - 021112,2021-02-21,1695CA,AXW291,Wholesale,1.0,1649.3,1649
SO - 021113,2021-02-21,2255CA,AXW291,Wholesale,1.0,1712.565,1713
SO - 021114,2021-02-21,1479CA,GUT930,Wholesale,2.0,385.5625,771
SO - 021115,2021-02-21,2953CA,GUT930,Distributor,1.0,1519.82,1520
SO - 021116,2021-02-21,2013AA,AXW291,Wholesale,40.0,143.8402,5754
SO - 021117,2021-02-21,2200CA,AXW291,Wholesale,1.0,448.0,448
SO - 021118,2021-02-21,3177CA,AXW291,Wholesale,56.25,69.45642,3907
SO - 021119,2021-02-21,2953BA,AXW291,Distributor,30.0,47.90925,1437
SO - 021120,2021-02-21,2200CA,AXW291,Wholesale,7.0,448.0,3136
SO - 021121,2021-02-21,2317CA,GUT930,Distributor,150.0,37.26672,5590
SO - 021122,2021-02-21,3177CA,AXW291,Distributor,56.25,69.45642,3907
SO - 021123,2021-02-21,3084CA,GUT930,Distributor,2.0,2769.81,5540
SO - 021124,2021-02-21,1992AA,FLR025,Distributor,595.0,586.3916,348903
SO - 021125,2021-02-21,3512AA,NXH382,Wholesale,2400.0,0.10295,247
SO - 021126,2021-02-21,2498BA,FLR025,Distributor,1.0,1474.56,1475
SO - 021127,2021-02-21,1630BA,AXW291,Export,3.0,442.803,1328
SO - 021128,2021-02-21,3365CA,GUT930,Wholesale,25.0,13.3248,333
SO - 021129,2021-02-21,2039CA,GUT930,Wholesale,3.0,449.75,1349
SO - 021130,2021-02-21,1130AA,FLR025,Wholesale,755.0,17.26609,13036
SO - 021131,2021-02-21,3495CA,GUT930,Distributor,105.0,39.835,4183
SO - 021132,2021-02-21,3551CA,AXW291,Wholesale,60.0,7.06831,424
SO - 021133,2021-02-22,2501CA,AXW291,Wholesale,1500.0,35.12175,52683
SO - 021134,2021-02-22,3533CA,GUT930,Distributor,200.0,0.64377,129
SO - 021135,2021-02-22,2458CA,NXH382,Wholesale,5884.0,6.83263,40203
SO - 021136,2021-02-22,2021CA,AXW291,Wholesale,16.0,295.27467,4724
SO - 021137,2021-02-22,2044CA,GUT930,Wholesale,11.0,740.82,8149
SO - 021138,2021-02-22,2053BA,AXW291,Distributor,3.0,1212.86889,3639
SO - 021139,2021-02-22,1126CA,AXW291,Wholesale,1206.0,32.8,39557
SO - 021140,2021-02-22,2396CA,FLR025,Distributor,800.0,0.7646,612
SO - 021141,2021-02-22,1511CA,GUT930,Wholesale,20.0,6.787,136
SO - 021142,2021-02-22,1009AA,GUT930,Wholesale,20.0,28.76326,575
SO - 021143,2021-02-22,2189CA,AXW291,Distributor,6.0,299.805,1799
SO - 021144,2021-02-22,2513CA,AXW291,Export,5.0,4805.03,24025
SO - 021145,2021-02-22,1499AA,AXW291,Export,350.0,14.22359,4978
SO - 021146,2021-02-22,1497CA,GUT930,Distributor,230.0,16.71828,3845
SO - 021147,2021-02-22,2044CA,AXW291,Export,4.0,740.82,2963
SO - 021148,2021-02-22,3404CA,NXH382,Wholesale,10.0,396.54,3965
SO - 021149,2021-02-22,2044CA,AXW291,Wholesale,9.0,740.82,6667
SO - 021150,2021-02-22,1695CA,AXW291,Wholesale,2.0,1649.3,3299
SO - 021151,2021-02-22,2021CA,AXW291,Distributor,7.0,295.27467,2067
SO - 021152,2021-02-22,1993AA,NXH382,Distributor,237.5,83.75125,19891
SO - 021153,2021-02-22,2359CA,NXH382,Wholesale,9900.0,73.0,722700
SO - 021154,2021-02-22,1953AA,AXW291,Wholesale,1.0,947.56,948
SO - 021155,2021-02-22,3619CA,AXW291,Wholesale,2550.0,0.7455,1901
SO - 021156,2021-02-22,1497CA,NXH382,Export,2.5,16.71828,42
SO - 021157,2021-02-22,2935BA,AXW291,Wholesale,3.0,23.495,70
SO - 021158,2021-02-22,2229CA,GUT930,Wholesale,1.0,751.0,751
SO - 021159,2021-02-22,1379CA,AXW291,Export,7.0,490.18125,3431
SO - 021160,2021-02-22,1163CA,AXW291,Wholesale,110.0,94.66425,10413
SO - 021161,2021-02-22,3495CA,AXW291,Distributor,10.0,39.835,398
SO - 021162,2021-02-22,1214CA,FLR025,Wholesale,105.0,317.65903,33354
SO - 021163,2021-02-22,3590BA,AXW291,Wholesale,9.0,115.085,1036
SO - 021164,2021-02-22,1009AA,FLR025,Export,100.0,28.76326,2876
SO - 021165,2021-02-22,3462AA,AXW291,Distributor,100.0,4.1,410
SO - 021166,2021-02-22,2227AA,GUT930,Distributor,3.0,751.635,2255
SO - 021167,2021-02-22,3420AA,AXW291,Distributor,1.0,17.255,17
SO - 021168,2021-02-22,1126CA,AXW291,Wholesale,879.0,32.8,28831
SO - 021169,2021-02-22,1193BA,AXW291,Wholesale,63.0,815.0,51345
SO - 021170,2021-02-22,2956AA,GUT930,Wholesale,14.0,12.02259,168
SO - 021171,2021-02-22,3160BA,GUT930,Wholesale,5.0,270.909,1355
SO - 021172,2021-02-22,1009AA,AXW291,Distributor,305.0,28.76326,8773
SO - 021173,2021-02-22,2930CA,NXH382,Wholesale,1.0,20.00833,20
SO - 021174,2021-02-22,3512AA,NXH382,Distributor,3029.0,0.10295,312
SO - 021175,2021-02-22,3502BA,AXW291,Wholesale,15.0,1234.335,18515
SO - 021176,2021-02-23,1497CA,GUT930,Distributor,30.0,16.71828,502
SO - 021177,2021-02-23,3365CA,AXW291,Wholesale,3166.0,13.3248,42186
SO - 021178,2021-02-23,3407CA,NXH382,Distributor,4.0,1017.592,4070
SO - 021179,2021-02-23,1497CA,AXW291,Wholesale,70.0,16.71828,1170
SO - 021180,2021-02-23,3053AA,GUT930,Wholesale,300.0,40.87148,12261
SO - 021181,2021-02-23,2867AA,NXH382,Wholesale,9.0,297.635,2679
SO - 021182,2021-02-23,3551CA,NXH382,Wholesale,368.0,7.06831,2601
SO - 021183,2021-02-23,2337CA,GUT930,Distributor,200.0,1.72706,345
SO - 021184,2021-02-23,2729AA,GUT930,Distributor,138.0,76.518,10559
SO - 021185,2021-02-23,2041CA,GUT930,Wholesale,1.0,648.42,648
SO - 021186,2021-02-23,3025CA,AXW291,Distributor,1.0,1092.5,1093
SO - 021187,2021-02-23,2923CA,AXW291,Wholesale,1.0,20.18857,20
SO - 021188,2021-02-23,1993AA,AXW291,Wholesale,210.0,83.75125,17588
SO - 021189,2021-02-23,3365CA,AXW291,Export,50.0,13.3248,666
SO - 021190,2021-02-23,3079BA,AXW291,Distributor,24.0,134.5,3228
SO - 021191,2021-02-23,1486CA,GUT930,Export,20.0,190.72,3814
SO - 021192,2021-02-23,1379CA,AXW291,Distributor,2.0,490.18125,980
SO - 021193,2021-02-23,2970CA,NXH382,Wholesale,1.0,512.205,512
SO - 021194,2021-02-23,1964BA,NXH382,Distributor,240.0,99.12769,23791
SO - 021195,2021-02-23,2487BA,AXW291,Wholesale,6.0,14.4,86
SO - 021196,2021-02-23,2326CA,AXW291,Distributor,189.0,63.5592,12013
SO - 021197,2021-02-23,2139BA,AXW291,Wholesale,129.0,2032.85,262238
SO - 021198,2021-02-23,1499CA,AXW291,Wholesale,2.0,6600.0,13200
SO - 021199,2021-02-23,2053BA,FLR025,Distributor,2.0,1212.86889,2426
SO - 021200,2021-02-23,3407CA,GUT930,Distributor,10.0,1017.592,10176
SO - 021201,2021-02-23,1385CA,AXW291,Wholesale,10.0,1781.5475,17815
SO - 021202,2021-02-23,2229CA,GUT930,Wholesale,121.0,751.0,90871
SO - 021203,2021-02-23,1445BA,FLR025,Export,2.0,1291.865,2584
SO - 021204,2021-02-23,2234AA,GUT930,Distributor,1.0,903.0,903
SO - 021205,2021-02-23,2315BA,AXW291,Wholesale,59.0,14.9222,880
SO - 021206,2021-02-23,2803BA,AXW291,Wholesale,61.0,42.48576,2592
SO - 021207,2021-02-23,3570CA,GUT930,Distributor,1.0,1160.0,1160
SO - 021208,2021-02-23,1993AA,NXH382,Wholesale,2.0,83.75125,168
SO - 021209,2021-02-23,2291AA,NXH382,Wholesale,150.0,18.75596,2813
SO - 021210,2021-02-23,1283CA,FLR025,Distributor,1.0,98333.33,98333
SO - 021211,2021-02-23,1130AA,GUT930,Wholesale,568.0,17.26609,9807
SO - 021212,2021-02-23,1083AA,GUT930,Distributor,4183.0,29.02,121391
SO - 021213,2021-02-23,1486CA,AXW291,Export,1.0,190.72,191
SO - 021214,2021-02-23,1126CA,AXW291,Export,2428.0,32.8,79638
SO - 021215,2021-02-23,1486CA,AXW291,Distributor,7.0,190.72,1335
SO - 021216,2021-02-23,2013AA,AXW291,Wholesale,145.0,143.8402,20857
SO - 021217,2021-02-23,2515BA,AXW291,Distributor,300.0,90.0,27000
SO - 021218,2021-02-23,3177CA,AXW291,Wholesale,15.0,69.45642,1042
SO - 021219,2021-02-24,2956AA,NXH382,Wholesale,20.0,12.02259,240
SO - 021220,2021-02-24,2930CA,AXW291,Distributor,6.0,20.00833,120
SO - 021221,2021-02-24,2060AA,AXW291,Distributor,2.0,1101.15,2202
SO - 021222,2021-02-24,1695CA,NXH382,Wholesale,1.0,1649.3,1649
SO - 021223,2021-02-24,2501CA,AXW291,Distributor,237.0,35.12175,8324
SO - 021224,2021-02-24,1964BA,AXW291,Distributor,160.0,99.12769,15860
SO - 021225,2021-02-24,3053AA,GUT930,Export,37.0,40.87148,1512
SO - 021226,2021-02-24,1382CA,FLR025,Distributor,10.0,613.52125,6135
SO - 021227,2021-02-24,1009AA,AXW291,Export,404.0,28.76326,11620
SO - 021228,2021-02-24,2336BA,GUT930,Wholesale,885.0,7.92068,7010
SO - 021229,2021-02-24,1479CA,GUT930,Distributor,10.0,385.5625,3856
SO - 021230,2021-02-24,1979AA,AXW291,Wholesale,70.0,278.638,19505
SO - 021231,2021-02-24,3494AA,GUT930,Distributor,50.0,3.5,175
SO - 021232,2021-02-24,3502BA,FLR025,Distributor,7.0,1234.335,8640
SO - 021233,2021-02-24,2223AA,NXH382,Wholesale,18.0,918.7,16537
SO - 021234,2021-02-24,2953BA,AXW291,Wholesale,100.0,47.90925,4791
SO - 021235,2021-02-24,2173CA,NXH382,Export,15.0,444.94,6674
SO - 021236,2021-02-24,1464AA,GUT930,Wholesale,2.0,842.57,1685
SO - 021237,2021-02-24,1995AA,GUT930,Export,35.0,100.57182,3520
SO - 021238,2021-02-24,1499CA,AXW291,Wholesale,2.0,6600.0,13200
SO - 021239,2021-02-24,2814BA,FLR025,Export,475.0,50.49535,23985
SO - 021240,2021-02-24,3461CA,AXW291,Wholesale,2.0,30.064,60
SO - 021241,2021-02-24,1163CA,NXH382,Wholesale,21.0,94.66425,1988
SO - 021242,2021-02-24,2220BA,AXW291,Wholesale,15.0,752.0,11280
SO - 021243,2021-02-24,2013AA,GUT930,Wholesale,64.0,143.8402,9206
SO - 021244,2021-02-24,2326CA,GUT930,Wholesale,300.0,63.5592,19068
SO - 021245,2021-02-24,1953AA,FLR025,Wholesale,1.0,947.56,948
SO - 021246,2021-02-24,3423CA,GUT930,Export,14.0,29.555,414
SO - 021247,2021-02-24,3494AA,NXH382,Distributor,50.0,3.5,175
SO - 021248,2021-02-24,1964BA,AXW291,Distributor,330.0,99.12769,32712
SO - 021249,2021-02-24,2977BA,FLR025,Distributor,4.0,52.8,211
SO - 021250,2021-02-24,1145BA,GUT930,Export,32.0,85.30066,2730
SO - 021251,2021-02-24,3053AA,AXW291,Wholesale,15.0,40.87148,613
SO - 021252,2021-02-24,3404CA,AXW291,Distributor,35.0,396.54,13879
SO - 021253,2021-02-24,1499AA,FLR025,Wholesale,50.0,14.22359,711
SO - 021254,2021-02-24,3619CA,FLR025,Export,5000.0,0.7455,3728
SO - 021255,2021-02-24,2956AA,AXW291,Wholesale,5.0,12.02259,60
SO - 021256,2021-02-24,1193BA,GUT930,Wholesale,384.0,815.0,312960
SO - 021257,2021-02-24,2729AA,NXH382,Export,105.0,76.518,8034
SO - 021258,2021-02-24,2265BA,FLR025,Wholesale,5.0,1691.46333,8457
SO - 021259,2021-02-24,3502BA,AXW291,Wholesale,2.0,1234.335,2469
SO - 021260,2021-02-24,2767AA,AXW291,Wholesale,3.0,147.86565,444
SO - 021261,2021-02-24,2935BA,GUT930,Distributor,33.0,23.495,775
SO - 021262,2021-02-25,1499AA,FLR025,Distributor,120.0,14.22359,1707
SO - 021263,2021-02-25,2060AA,AXW291,Distributor,3.0,1101.15,3303
SO - 021264,2021-02-25,1971AA,FLR025,Wholesale,5.0,321.9469,1610
SO - 021265,2021-02-25,3420AA,AXW291,Distributor,2.0,17.255,35
SO - 021266,2021-02-25,2970CA,GUT930,Wholesale,2.0,512.205,1024
SO - 021267,2021-02-25,2938CA,GUT930,Export,3.0,29.206,88
SO - 021268,2021-02-25,2054AA,FLR025,Wholesale,3.0,751.83,2255
SO - 021269,2021-02-25,1130AA,AXW291,Wholesale,274.0,17.26609,4731
SO - 021270,2021-02-25,2930CA,GUT930,Export,27.0,20.00833,540
SO - 021271,2021-02-25,2876CA,GUT930,Wholesale,2.0,427.425,855
SO - 021272,2021-02-25,1145BA,GUT930,Wholesale,61.0,85.30066,5203
SO - 021273,2021-02-25,2930CA,GUT930,Wholesale,1.0,20.00833,20
SO - 021274,2021-02-25,1077CA,GUT930,Distributor,6306.0,22.9777,144897
SO - 021275,2021-02-25,2646AA,FLR025,Distributor,15.0,908.33214,13625
SO - 021276,2021-02-25,3084CA,GUT930,Distributor,1.0,2769.81,2770
SO - 021277,2021-02-25,3079BA,AXW291,Wholesale,18.0,134.5,2421
SO - 021278,2021-02-25,1953AA,FLR025,Wholesale,1.0,947.56,948
SO - 021279,2021-02-25,1624CA,AXW291,Distributor,1.0,1531.377,1531
SO - 021280,2021-02-25,3619CA,NXH382,Wholesale,60.0,0.7455,45
SO - 021281,2021-02-25,1624AA,AXW291,Wholesale,2.0,722.101,1444
SO - 021282,2021-02-25,1330CA,GUT930,Distributor,1.0,6000.0,6000
SO - 021283,2021-02-25,1193BA,GUT930,Distributor,19.0,815.0,15485
SO - 021284,2021-02-25,3399AA,AXW291,Export,5.0,194.753,974
SO - 021285,2021-02-25,3079BA,GUT930,Wholesale,408.0,134.5,54876
SO - 021286,2021-02-25,1193BA,AXW291,Wholesale,63.0,815.0,51345
SO - 021287,2021-02-25,2953BA,NXH382,Distributor,50.0,47.90925,2395
SO - 021288,2021-02-25,2277AA,FLR025,Distributor,44.0,6.37172,280
SO - 021289,2021-02-25,2938CA,AXW291,Wholesale,5.0,29.206,146
SO - 021290,2021-02-25,1077CA,AXW291,Distributor,1342.0,22.9777,30836
SO - 021291,2021-02-25,3462AA,FLR025,Wholesale,50.0,4.1,205
SO - 021292,2021-02-25,2970CA,AXW291,Distributor,1.0,512.205,512
SO - 021293,2021-02-25,3502BA,NXH382,Export,2.0,1234.335,2469
SO - 021294,2021-02-25,1624AA,AXW291,Wholesale,1.0,722.101,722
SO - 021295,2021-02-25,1993AA,AXW291,Distributor,380.0,83.75125,31825
SO - 021296,2021-02-25,2054AA,NXH382,Export,5.0,751.83,3759
SO - 021297,2021-02-25,2317CA,AXW291,Distributor,1084.0,37.26672,40397
SO - 021298,2021-02-25,1382CA,AXW291,Export,7.0,613.52125,4295
SO - 021299,2021-02-25,3533CA,NXH382,Wholesale,1575.0,0.64377,1014
SO - 021300,2021-02-25,1971AA,AXW291,Wholesale,45.0,321.9469,14488
SO - 021301,2021-02-25,2935BA,FLR025,Distributor,10.0,23.495,235
SO - 021302,2021-02-25,2956AA,NXH382,Wholesale,4.0,12.02259,48
SO - 021303,2021-02-25,2255CA,NXH382,Wholesale,6.0,1712.565,10275
SO - 021304,2021-02-25,3533CA,GUT930,Distributor,200.0,0.64377,129
SO - 021305,2021-02-26,1601AA,GUT930,Wholesale,2.0,918.403,1837
SO - 021306,2021-02-26,1630BA,NXH382,Wholesale,4.0,442.803,1771
SO - 021307,2021-02-26,3160BA,AXW291,Export,3.0,270.909,813
SO - 021308,2021-02-26,2277AA,GUT930,Wholesale,638.0,6.37172,4065
SO - 021309,2021-02-26,3423CA,AXW291,Wholesale,2.0,29.555,59
SO - 021310,2021-02-26,3533CA,AXW291,Wholesale,795.0,0.64377,512
SO - 021311,2021-02-26,1499CA,AXW291,Distributor,4.0,6600.0,26400
SO - 021312,2021-02-26,2291AA,AXW291,Distributor,519.0,18.75596,9734
SO - 021313,2021-02-26,2752AA,AXW291,Wholesale,53.0,76.502,4055
SO - 021314,2021-02-26,2785BA,FLR025,Export,756.0,34.48244,26069
SO - 021315,2021-02-26,2646AA,AXW291,Wholesale,3.0,908.33214,2725
SO - 021316,2021-02-26,2953BA,AXW291,Distributor,50.0,47.90925,2395
SO - 021317,2021-02-26,1630BA,AXW291,Wholesale,2.0,442.803,886
SO - 021318,2021-02-26,3462AA,GUT930,Wholesale,30.0,4.1,123
SO - 021319,2021-02-26,2331CA,AXW291,Wholesale,133.0,210.12419,27947
SO - 021320,2021-02-26,3494AA,AXW291,Wholesale,50.0,3.5,175
SO - 021321,2021-02-26,3461CA,AXW291,Wholesale,10.0,30.064,301
SO - 021322,2021-02-26,3461CA,AXW291,Distributor,25.0,30.064,752
SO - 021323,2021-02-26,1077CA,AXW291,Wholesale,1913.0,22.9777,43956
SO - 021324,2021-02-26,2646AA,NXH382,Distributor,31.0,908.33214,28158
SO - 021325,2021-02-26,3590BA,GUT930,Wholesale,4.0,115.085,460
SO - 021326,2021-02-26,1464AA,AXW291,Wholesale,2.0,842.57,1685
SO - 021327,2021-02-26,1193BA,GUT930,Distributor,48.0,815.0,39120
SO - 021328,2021-02-26,3590BA,GUT930,Wholesale,6.0,115.085,691
SO - 021329,2021-02-26,1584BA,AXW291,Wholesale,1.0,425.0,425
SO - 021330,2021-02-26,1163CA,GUT930,Wholesale,40.0,94.66425,3787
SO - 021331,2021-02-26,2096BA,AXW291,Wholesale,3.0,1524.57667,4574
SO - 021332,2021-02-26,1206BA,AXW291,Wholesale,51.0,236.62475,12068
SO - 021333,2021-02-26,2396CA,AXW291,Wholesale,5100.0,0.7646,3899
SO - 021334,2021-02-26,3407CA,GUT930,Wholesale,4.0,1017.592,4070
SO - 021335,2021-02-26,2326CA,FLR025,Distributor,51.0,63.5592,3242
SO - 021336,2021-02-26,2189CA,NXH382,Distributor,2.0,299.805,600
SO - 021337,2021-02-26,1214CA,AXW291,Wholesale,128.0,317.65903,40660
SO - 021338,2021-02-26,2170BA,AXW291,Wholesale,1.0,305.19,305
SO - 021339,2021-02-26,3160BA,AXW291,Distributor,12.0,270.909,3251
